410,810,361.615
12849,3,856.5936048
52376,44270,4.4
18658,70,289.292
8706,29975,15.37928345
3807,52917,9.8304
52376,44270,0.275
20219,37490,0.6144
10308,37490,0.3072
25364,4067,0.72323
2536,24748,150.15
40440,20571,5.78584
52376,44270,2.2
33027,20219,4.8
3807,44270,4.4
3807,44270,0.55
36594,43978,0.15
27101,3,72.323
38308,11895,4.8
1095,68,4020.0096
1464,3,10848.45
9519,12024,4.5
64503,645,162
12844,22098,1.2288
38678,24748,750.75
29861,52917,2.4576
5127,3,715.9977
4865,20571,0.72323
46831,43978,0.15
29861,52917,1.223015587
64503,29135,600
15750,29135,112.839
12844,11895,0.3
36594,46831,0.6
2244,5685,7.5
52376,44270,2.2
10308,18067,0.0375
39928,1476,0.672
25364,4067,0.72323
11895,22098,0.3
11895,22098,0.3072
12844,22098,0.3072
61,3970,1.29E-05
10256,141,2108
33614,9867,150
12844,22098,1.2288
37490,20219,0.05225655
13600,3,2271.954715
13213,22236,0.96
48843,11936,0.359999999
20571,40440,1.44646
8706,27308,361.615
4440,50390,1432.2624
3807,44270,1.1
15857,24884,750
51672,3,3616.15
11186,14553,1.95
40440,20571,1.44646
53376,101,0.388
33027,37490,7.47E-04
6160,8987,9.3
53700,3,7.2323
15896,5218,0.96
25045,19840,0.009
33162,21569,0.04847
39928,66259,2.3136
10470,38,8.823406
17072,29135,9405
271,876,1.5
33027,37490,0.1536
289,20219,1808.075
20219,24884,1446.46
3108,24,1042.64412
3807,52917,0.6144
20571,4865,2.89292
434,435,89.28765423
4865,20571,0.72323
12844,22098,0.6144
33614,31578,1500
46831,36594,0.6
5727,38,5062.61
29861,52917,0.6144
16133,3,4339.38
18067,37490,0.6144
9519,28371,4.5
2048,29135,5685
34612,34979,1.2
29861,52917,9.8304
38085,7840,5.5
1845,24998,6.5163023
64548,3,1312.228512
5455,14553,1.65
15703,24,2285.76
19812,38,36.1615
12844,11895,9.6
63589,495,795.553
29135,47461,150.075
1095,68,4915.7184
34879,55053,0.05
18449,3,14.4646
32554,14553,677.025
410,2369,5785.84
15857,24884,394.6
4298,29135,1050
33027,37490,0.0384
37490,24664,0.72323
10308,37490,0.1536
40269,33463,723.23
3807,52917,0.6144
33027,37490,1.2288
816,12802,60.48
4353,14553,4509
58663,14553,780
46831,36594,0.6
42380,3,2892.92
17247,495,202.5044
12844,11895,1.2
9519,26773,7.2323
1783,3,228.8897976
38308,11895,1.2
25904,3,14464.6
12844,11895,1.2
33027,20219,9.6
410,15764,3616.15
12844,11895,1.2
34612,34979,0.15
194,48784,0.7296
1007,38,5785.84
3807,52917,9.8304
46831,36594,0.6
35321,62386,0.00765
39657,3,1808.075
15086,816,1248
34358,14553,451.5
28062,28030,110
33027,37490,0.3072
15896,5218,0.96
46297,5685,30
15764,3,19.3936
12802,29533,0.2784
25364,4067,0.361615
3807,52917,19.6608
34612,34979,0.3
2418,21848,2.27E-04
20375,3,144.646
34612,12377,0.72323
28426,560,50.6261
36594,46831,0.15
33027,37490,0.0384
1845,44720,0.0072323
25364,4067,0.361615
15636,38,7.2323
2369,1761,30
10308,18067,0.0375
3807,44270,0.55
23214,18667,0.3405
11895,22098,2.4576
4440,28989,0.048
10308,18067,0.01875
22098,11895,0.3
52492,3,1368.365661
46831,36594,0.6
810,3,115.7168
8706,15195,3616.15
39002,3,98.19591681
52376,44270,8.8
36594,46831,0.6
59522,14553,300.9
13403,5685,45
12844,11895,4.8
36594,46831,0.3
52376,44270,1.1
17824,10514,150.5265
3807,52917,2.4576
4132,3,195272.1
5255,633,5062.61
29861,52917,2.4576
33027,20219,0.3
36594,46831,0.6
8706,30259,7232.3
36594,46831,0.6
36594,46831,1.2
52492,3,11.51561521
2369,54258,15
29861,52917,1.2288
36594,46831,0.15
27777,38,0.72323
25364,4067,0.72323
52376,44270,2.2
52376,44270,2.2
225,18209,0.0705
39928,1891,0.3648
25364,4067,0.72323
1845,17275,7.2323
289,15764,121.7984772
33027,37490,0.3072
25364,4067,0.72323
37490,18067,0.075
23169,101,0.72323
5042,632,19.73
37490,18067,0.075
37490,24664,0.72323
25364,4067,0.72323
33039,38,64.36747
1095,68,10080.4512
37601,38,36.1615
19775,6429,0.96
25364,4067,0.72323
19963,3,36.595438
19394,38,144.646
2464,3,723.23
29135,64503,300
20571,4865,0.72323
14028,3,361.615
46831,36594,0.6
25364,4067,0.72323
10308,37490,0.6144
194,46649,4.608
1813,3,723.23
38809,3,723.23
25364,4067,0.361615
33027,20219,1.2
4865,20571,0.72323
52376,44270,0.55
39657,38,723.23
35675,3,786.7589933
46859,38,1084.845
52376,44270,2.2
50302,38996,0.00765
1845,40269,3977.692677
757,40622,1.1
856,400,361.615
4865,20571,1.44646
816,12802,14.88
4865,20571,0.72323
3807,52917,0.3072
1845,37084,6509.07
36594,46831,0.3
33027,37490,0.6144
25045,19840,0.009
4865,14553,3009
11895,22098,0.3072
46831,36594,0.6
19235,5685,60
12844,11895,0.3
3807,52917,0.6144
38308,11895,1.2
4622,860,1260.607169
271,876,1
27581,42,75
39928,54491,0.432
29319,14553,3
34729,18575,0.0055
5720,3,6200.178467
15896,5218,0.96
38308,11895,0.6
33614,25181,30
33614,14097,750
52376,44270,0.55
14028,3,846.90233
29861,52917,4.9152
36594,46831,0.6
225,38887,0.6105
25364,4067,1.44646
26618,3,361.615
56981,41424,78.72
47666,400,7955.53
20571,4865,0.72323
52376,44270,0.55
1264,26,1699.2
19748,29975,2169.69
33614,44413,600
860,2840,0.003452
40440,20571,1.44646
4865,20571,0.72323
52376,44270,0.275
971,38,1381.369293
34616,110,227.94
38308,11895,0.3
36362,18658,2719.321
59522,29135,677.031
44388,38,81.652667
33027,20219,0.6
23342,70,504.742217
4865,40440,5.78584
20219,37490,2.4576
12844,22098,0.6144
8706,4865,4339.38
3807,52917,9.8304
1845,20274,5062.248385
10928,24326,60
10237,36362,7232.3
37147,645,0.3
25364,4067,0.72323
33027,37490,0.6144
40440,20571,0.72323
6737,38,0.72323
8645,70,137.269054
27699,400,0.578584
43978,46831,0.6
29871,50645,55.71393024
25364,4067,0.361615
20571,40440,1.44646
17627,38,7.2323
4980,98,5220
37490,18067,0.0375
33027,37490,0.1536
3807,52917,2.4576
3807,52917,2.4576
32247,38,72.323
40199,3,36.1615
24344,29135,875.55
3951,11870,9.6
504,3,4339.38
25364,4067,0.72323
28453,3,1121.0065
33027,37490,0.6144
18495,3,134.52078
23511,14553,45.3
3807,52917,4.9152
2369,38346,15
52376,44270,1.1
20571,4865,1.44646
12802,17868,0.0384
38573,1411,9.6
20014,3566,0.0011
33027,37490,0.3072
22671,38,1808.075
46831,36594,2.4
21598,29536,0.005560217
4865,40440,0.72323
25364,4067,0.72323
22098,11895,0.6
15857,18067,15
1783,40,556.8871
29135,64503,300.15
19748,38,506.261
718,38,7232.3
6851,3,36.1615
25364,4067,0.361615
32191,400,28.9292
45678,8881,2.27E-04
5327,3,79.5553
20219,37490,0.1536
22098,11895,9.6
4865,40440,2.89292
20968,24748,1500
5685,50733,1.5
35321,54864,0.00765
38573,24145,9.6096
12377,34979,0.6
52376,44270,4.4
22098,11895,0.3
22098,11895,0.15
37490,24664,0.72323
37669,11,55
3566,11,1.1
52376,44270,17.6
52376,44270,1.1
48146,14553,7522.5
12844,22098,1.2288
20571,4865,0.72323
23805,110,60.9
3807,52917,2.4576
54878,38,723.23
29861,52917,9.8304
25183,42,645
4865,40440,1.44646
3807,44270,2.2
21451,42,0.3
33614,15436,2250
26161,11,0.11
6070,21805,2458.25877
55227,42,20.865
33027,37490,0.3072
33027,37490,0.0192
15824,14229,13
66217,14553,790.314
20571,4865,22.73039567
15539,3,2892.92
33027,37490,0.3072
3807,44270,4.4
3807,52917,1.2288
11895,22098,0.3
22098,11895,0.6
25364,4067,0.72323
20571,4865,1.44646
43978,46831,0.3
52134,11,4.773999989
12844,22098,0.6144
38308,11895,0.6
39928,7,14.3136
748,3,12070.7087
19748,40,2169.69
4865,20571,1.44646
10308,18067,0.0375
43706,3,65.0907
3807,44270,1.1
22385,14553,150
25045,19840,0.009
30480,49978,0.0096
7164,1253,1.24
22098,11895,0.3
25364,4067,0.72323
1981,3,361.615
39928,66259,2.4288
52376,44270,1.1
25364,4067,0.72323
20851,38,557.61033
42569,110,34.8
4865,20571,0.361615
33614,65698,30
33614,18130,300
65744,3,91.7851193
15896,5218,0.96
48138,3,2712.1125
3807,44270,10.31461089
9940,816,9700.8
255,3,361.615
10308,18067,0.075
33547,3,8.244822
25364,4067,0.72323
29975,17,659.8048739
38059,64218,1.10E-04
15764,38,1084.845
29094,3,7.2323
47666,495,6364.424
1512,8226,0.538
52376,44270,0.275
18495,3,168.51259
410,810,216.969
28958,718,0.005919
33027,37490,0.3072
35321,51826,0.00765
64016,44550,1500
36594,46831,0.15
4865,20571,1.44646
1845,17275,31.59369504
24664,37490,0.72323
17997,55920,1.1
25364,4067,0.72323
12802,59214,0.0672
31114,14553,1.8
3603,38,954.6636
8706,4865,8678.76
33027,37490,0.0384
3807,52917,9.8304
24,26857,2.544
49130,38,39.77765
3807,52917,1.2288
25203,68,777.6
38308,11895,0.15
20571,4865,1.44646
33027,37490,0.0768
22098,11895,0.6
9386,632,23.654297
21345,3,34.136456
43978,36594,0.3
52376,44270,2.2
3807,52917,4.9152
52376,44270,0.1375
31298,14553,631.89
57389,5685,9.9
18970,38,497.437594
